cinema	listing_title	candidate_tmdb_id	verdict	correct_tmdb_id	evidence
CINEMA Chupki TABATA	パリに咲くエトワール	1526874	CORRECT		The independent source identifies パリに咲くエトワール as 谷口悟朗’s 2026 film, matching the proposed TMDB record (https://www.shochiku.co.jp/cinema/lineup/parieto-movie/).
Cinema Neko (シネマネコ)	未来	1580374	CORRECT		The independent source identifies 未来 as 瀬々敬久’s 2026 film, matching the proposed TMDB record (https://mirai-movie.jp/).
Cinema Neko (シネマネコ)	ひつじ探偵団	1301421	CORRECT		The independent source identifies ひつじ探偵団 as カイル・バルダ’s 2026 film, matching the proposed TMDB record (https://eiga.com/movie/105793/).
Cinema Neko (シネマネコ)	四月の余白	1637635	CORRECT		The independent source identifies 四月の余白 as 𠮷田恵輔’s 2026 film, matching the proposed TMDB record (https://www.kinenote.com/sp/public/cinema/detail.aspx?cinema_id=102675).
Cinema Neko (シネマネコ)	オールド・オーク	970348	CORRECT		The independent source identifies オールド・オーク as Ken Loach’s 2023 film, matching the proposed TMDB record (https://eiga.com/movie/99304/).
K's Cinema (ケイズシネマ)	エヴァの匂い	94655	CORRECT		The independent source identifies エヴァの匂い as Joseph Losey’s 1962 film, matching the proposed TMDB record (https://www.allcinema.net/cinema/2994).
K's Cinema (ケイズシネマ)	破局（1950）	37954	CORRECT		The independent source identifies 破局（1950） as Michael Curtiz’s 1950 film, matching the proposed TMDB record (https://eiga.com/movie/62952/).
K's Cinema (ケイズシネマ)	地獄の埠頭	72778	CORRECT		The independent source identifies 地獄の埠頭 as Frank Tuttle’s 1955 film, matching the proposed TMDB record (https://eiga.com/movie/61384/).
K2 Cinema	親密さ	348881	CORRECT		The independent source identifies 親密さ as 濱口竜介’s 2013 film, matching the proposed TMDB record (https://jfdb.jp/en/title/3755).
K2 Cinema	バカンスは始まったばかり	1608471	CORRECT		The independent source identifies バカンスは始まったばかり as 木村聡志’s 2026 film, matching the proposed TMDB record (https://jfdb.jp/title/10513).
K2 Cinema	不気味なものの肌に触れる	381920	CORRECT		The independent source identifies 不気味なものの肌に触れる as 濱口竜介’s 2013 film, matching the proposed TMDB record (https://intro.ne.jp/contents/2013/08/14_2151.html).
Morc阿佐ヶ谷	日泰食堂	1185957	CORRECT		The independent source identifies 日泰食堂 as 冼澔楊’s 2025 film, matching the proposed TMDB record (https://taiwancinema.bamid.gov.tw/Film/Filmcontent/?ContentUrl=92985).
Morc阿佐ヶ谷	落下の王国 4Kデジタルリマスター	14784	CORRECT		The independent source identifies 落下の王国 as ターセム・シン’s 2006 film, matching the proposed TMDB record (https://www.kinenote.com/main/public/cinema/detail.aspx?cinema_id=39337).
Morc阿佐ヶ谷	エレノアってグレイト。	1212271	CORRECT		The independent source identifies エレノアってグレイト。 as スカーレット・ヨハンソン’s 2025 film, matching the proposed TMDB record (https://eleanor2026.com/).
Morc阿佐ヶ谷	霧のごとく	1174334	CORRECT		The independent source identifies 霧のごとく as チェン・ユーシュン’s 2025 film, matching the proposed TMDB record (https://www.kinenote.com/sp/public/cinema/detail.aspx?cinema_id=102789).
Morc阿佐ヶ谷	ユージュアル・サスペクツ	629	CORRECT		The independent source identifies ユージュアル・サスペクツ as ブライアン・シンガー’s 1995 film, matching the proposed TMDB record (https://books.rakuten.co.jp/rb/15821186/).
Morc阿佐ヶ谷	下妻物語	26275	CORRECT		The independent source identifies 下妻物語 as 中島哲也’s 2004 film, matching the proposed TMDB record (https://jfdb.jp/title/202).
Morc阿佐ヶ谷	ビッグ・リボウスキ	115	CORRECT		The independent source identifies ビッグ・リボウスキ as ジョエル・コーエン’s 1998 film, matching the proposed TMDB record (https://www.kinenote.com/main/public/cinema/detail.aspx?cinema_id=30976).
Morc阿佐ヶ谷	この場所	1167802	CORRECT		The independent source identifies この場所 as Jaime Pacena II’s 2026 film, matching the proposed TMDB record (https://oaff.jp/programs/2025-sl12-2/).
Morc阿佐ヶ谷	鉄コン筋クリート	13754	CORRECT		The independent source identifies 鉄コン筋クリート as マイケル・アリアス’s 2006 film, matching the proposed TMDB record (https://www.asmik-ace.co.jp/works/lineup/2181/).
Stranger (ストレンジャー)	トロフィー	1657017	CORRECT		The independent source identifies トロフィー as 孫明雅’s 2026 film, matching the proposed TMDB record (https://k2pic.com/film/trophy/).
Stranger (ストレンジャー)	ポンヌフの恋人	2767	CORRECT		The independent source identifies ポンヌフの恋人 as レオス・カラックス’s 1991 film, matching the proposed TMDB record (https://www.wowow.co.jp/detail/010001).
Stranger (ストレンジャー)	ガーゴイル	40723	CORRECT		The independent source identifies ガーゴイル as クレール・ドニ’s 2001 film, matching the proposed TMDB record (https://www.cinematoday.jp/movie/T0001149).
Stranger (ストレンジャー)	ネネットとボニ	99002	CORRECT		The independent source identifies ネネットとボニ as クレール・ドニ’s 1997 film, matching the proposed TMDB record (https://www.allcinema.net/cinema/84481).
Stranger (ストレンジャー)	時をかける少女（2006）	14069	CORRECT		The independent source identifies 時をかける少女（2006） as 細田守’s 2006 film, matching the proposed TMDB record (https://jfdb.jp/title/482).
YEBISU GARDEN CINEMA	隣人たち	758679	CORRECT		The independent source identifies 隣人たち as ブノワ・ドゥローム’s 2024 film, matching the proposed TMDB record (https://eiga.com/movie/105907/).
YEBISU GARDEN CINEMA	きれっぱしの愛	1258509	CORRECT		The independent source identifies きれっぱしの愛 as Hlynur Pálmason’s 2025 film, matching the proposed TMDB record (https://eiga.com/movie/105012/).
YEBISU GARDEN CINEMA	デッドマンズ・ワイヤー	1263012	CORRECT		The independent source identifies デッドマンズ・ワイヤー as ガス・ヴァン・サント’s 2026 film, matching the proposed TMDB record (https://eiga.com/movie/105873/).
YEBISU GARDEN CINEMA	ビトゥーカ　ミルトン・ナシメント　フェアウェルツアー	1378051	CORRECT		The independent source identifies ビトゥーカ　ミルトン・ナシメント　フェアウェルツアー as Flávia Moraes’s 2025 film, matching the proposed TMDB record (https://eiga.com/movie/104329/).
kino cinéma新宿	Michael／マイケル（字幕）	936075	CORRECT		The independent source identifies Michael／マイケル as アントワーン・フークア’s 2026 film, matching the proposed TMDB record (https://eiga.com/movie/102093/).
kino cinéma新宿	Return to My Blue	1687841	CORRECT		The independent source identifies Return to My Blue as 野口雄大’s 2026 film, matching the proposed TMDB record (https://eiga.com/movie/106109/).
kino cinéma新宿	隣人たち（字幕）	758679	CORRECT		The independent source identifies 隣人たち as ブノワ・ドゥローム’s 2024 film, matching the proposed TMDB record (https://eiga.com/movie/105907/).
kino cinéma新宿	残響のメロディ 魂の放浪者ニコ、最後の旅路（字幕）	473262	CORRECT		The independent source identifies 残響のメロディ 魂の放浪者ニコ、最後の旅路 as Susanna Nicchiarelli’s 2017 film, matching the proposed TMDB record (https://eiga.com/movie/105995/).
kino cinéma新宿	残響のメロディ　魂の放浪者ニコ、最後の旅路	473262	CORRECT		The independent source identifies 残響のメロディ　魂の放浪者ニコ、最後の旅路 as Susanna Nicchiarelli’s 2017 film, matching the proposed TMDB record (https://eiga.com/movie/105995/).
kino cinéma新宿	プラダを着た悪魔2	1314481	CORRECT		The independent source identifies プラダを着た悪魔2 as デヴィッド・フランケル’s 2026 film, matching the proposed TMDB record (https://eiga.com/movie/104001/).
kino cinéma新宿	プラダを着た悪魔２（字幕）	1314481	CORRECT		The independent source identifies プラダを着た悪魔２ as デヴィッド・フランケル’s 2026 film, matching the proposed TMDB record (https://eiga.com/movie/104001/).
*	オブセッション　災愛	1436161	WRONG	1339713	The cinema source identifies Curry Barker’s feature, but TMDB 1436161 is Audrey Collins’s unrelated 18-minute 2025 short (https://www.unitedcinemas.jp/minatomirai/film.php?from=all&movie=13839; https://letterboxd.com/film/obsession-2025-4/).
kino cinéma新宿	箱の中の羊	1553969	CORRECT		The independent source identifies 箱の中の羊 as 是枝裕和’s 2026 film, matching the proposed TMDB record (https://eiga.com/movie/104699/).
kino cinéma横浜みなとみらい	バナ穴 BANA_ANA	1671640	CORRECT		The independent source identifies バナ穴 BANA_ANA as 山内ケンジ’s 2026 film, matching the proposed TMDB record (https://eiga.com/movie/106033/).
kino cinéma横浜みなとみらい	ハッシュ！	26895	CORRECT		The independent source identifies ハッシュ！ as 橋口亮輔’s 2001 film, matching the proposed TMDB record (https://eiga.com/movie/40525/).
kino cinéma横浜みなとみらい	ぐるりのこと。	51549	CORRECT		The independent source identifies ぐるりのこと。 as 橋口亮輔’s 2008 film, matching the proposed TMDB record (https://eiga.com/movie/53383/).
kino cinéma横浜みなとみらい	死ねばいいのに	1651166	CORRECT		The independent source identifies 死ねばいいのに as 金井純一’s 2026 film, matching the proposed TMDB record (https://eiga.com/movie/105796/).
kino cinéma横浜みなとみらい	Michael マイケル	936075	CORRECT		The independent source identifies Michael マイケル as アントワーン・フークア’s 2026 film, matching the proposed TMDB record (https://eiga.com/movie/102093/).
kino cinéma立川髙島屋S.C.館	デッドマンズ・ワイヤー（字幕）	1263012	CORRECT		The independent source identifies デッドマンズ・ワイヤー as ガス・ヴァン・サント’s 2026 film, matching the proposed TMDB record (https://eiga.com/movie/105873/).
kino cinéma立川髙島屋S.C.館	新凱旋門物語	1290424	CORRECT		The independent source identifies 新凱旋門物語 as Stéphane Demoustier’s 2025 film, matching the proposed TMDB record (https://www.allcinema.net/cinema/404782).
kino cinéma立川髙島屋S.C.館	チルド	1616908	CORRECT		The independent source identifies チルド as 岩崎裕介’s 2026 film, matching the proposed TMDB record (https://eiga.com/movie/105408/).
あつぎのえいがかんkiki	PEACOCK ピーコック	1245728	CORRECT		The independent source identifies PEACOCK ピーコック as Bernhard Wenger’s 2025 film, matching the proposed TMDB record (https://eiga.com/movie/106220/).
あつぎのえいがかんkiki	モブ子の恋	1663041	CORRECT		The independent source identifies モブ子の恋 as 風間太樹’s 2026 film, matching the proposed TMDB record (https://eiga.com/movie/99526/).
あつぎのえいがかんkiki	さよなら、僕の英雄	1295400	CORRECT		The independent source identifies さよなら、僕の英雄 as Anders Thomas Jensen’s 2025 film, matching the proposed TMDB record (https://eiga.com/movie/105852/).
あつぎのえいがかんkiki	ロングウォーク	604079	CORRECT		The independent source identifies ロングウォーク as フランシス・ローレンス’s 2025 film, matching the proposed TMDB record (https://eiga.com/movie/104619/).
あつぎのえいがかんkiki	億万長者の不都合な終末	934584	CORRECT		The independent source identifies 億万長者の不都合な終末 as Galder Gaztelu-Urrutia’s 2024 film, matching the proposed TMDB record (https://eiga.com/movie/105932).
あつぎのえいがかんkiki	MOTHERLAND	628742	CORRECT		The independent source identifies MOTHERLAND as Tomas Vengris’s 2019 film, matching the proposed TMDB record (https://www.lfc.lt/en/Page%3DArticleList%26ID%3D16085%26Y%3D).
アップリンク吉祥寺	黒牢城	1620313	CORRECT		The independent source identifies 黒牢城 as 黒沢清’s 2026 film, matching the proposed TMDB record (https://eiga.com/movie/105427/).
アップリンク吉祥寺	大統領のケーキ	1464883	CORRECT		The independent source identifies 大統領のケーキ as Hasan Hadi’s 2026 film, matching the proposed TMDB record (https://eiga.com/movie/104925/).
アップリンク吉祥寺	フォー・トレイルズ　限界を超えてゆけ	1184854	CORRECT		The independent source identifies フォー・トレイルズ　限界を超えてゆけ as Robin Lee’s 2024 film, matching the proposed TMDB record (https://eiga.com/movie/104891/).
アップリンク吉祥寺	熱狂をこえて	1639386	CORRECT		The independent source identifies 熱狂をこえて as 松岡弘明’s 2026 film, matching the proposed TMDB record (https://eiga.com/movie/105930/).
アップリンク吉祥寺	勝手にしやがれ	269	CORRECT		The independent source identifies 勝手にしやがれ as ジャン＝リュック・ゴダール’s 1960 film, matching the proposed TMDB record (https://eiga.com/movie/8002/).
アップリンク吉祥寺	プライベート・ケース	1290432	CORRECT		The independent source identifies プライベート・ケース as Rebecca Zlotowski’s 2025 film, matching the proposed TMDB record (https://eiga.com/movie/105612/).
アップリンク吉祥寺	免許返納!?	1654870	CORRECT		The independent source identifies 免許返納!? as 河合勇人’s 2026 film, matching the proposed TMDB record (https://eiga.com/movie/105248/).
アップリンク吉祥寺	ヌーヴェルヴァーグ	1254808	CORRECT		The independent source identifies ヌーヴェルヴァーグ as リチャード・リンクレイター’s 2025 film, matching the proposed TMDB record (https://eiga.com/movie/103730/).
アップリンク吉祥寺	ユースフル・ゴースト	1364904	CORRECT		The independent source identifies ユースフル・ゴースト as ラッチャプーム・ブンバンチャーチョーク’s 2025 film, matching the proposed TMDB record (https://eiga.com/movie/105993/).
アップリンク吉祥寺	給阿マ的情書 おばあちゃんへのラブレター《潮汕方言音声／中国語・英語字幕》	1671548	CORRECT		The independent source identifies 給阿マ的情書 おばあちゃんへのラブレター《潮汕方言音声／中国語・英語字幕》 as Lan Hongchun’s 2026 film, matching the proposed TMDB record (https://joji.uplink.co.jp/movie/2026/33048).
アップリンク吉祥寺	ブリング・ハー・バック	1151031	CORRECT		The independent source identifies ブリング・ハー・バック as Michael Philippou’s 2025 film, matching the proposed TMDB record (https://eiga.com/movie/104044/).
アップリンク吉祥寺	the moment ザ・モーメント	1422562	CORRECT		The independent source identifies the moment ザ・モーメント as Aidan Zamiri’s 2026 film, matching the proposed TMDB record (https://eiga.com/movie/106047/).
アップリンク吉祥寺	the moment／ザ・モーメント	1422562	CORRECT		The independent source identifies the moment／ザ・モーメント as Aidan Zamiri’s 2026 film, matching the proposed TMDB record (https://eiga.com/movie/106047/).
キネカ大森	キングダム　魂の決戦	1511675	CORRECT		The independent source identifies キングダム　魂の決戦 as 佐藤信介’s 2026 film, matching the proposed TMDB record (https://eiga.com/movie/104266/).
キネカ大森	映画ちいかわ　人魚の島のひみつ	1586876	CORRECT		The independent source identifies 映画ちいかわ　人魚の島のひみつ as 及川啓’s 2026 film, matching the proposed TMDB record (https://eiga.com/movie/105109/).
キネカ大森	aftersun アフターサン	965150	CORRECT		The independent source identifies aftersun アフターサン as Charlotte Wells’s 2022 film, matching the proposed TMDB record (https://eiga.com/movie/97311/).
キネマ旬報シアター	Perfume“コールドスリープ” 25 years Document	1603232	CORRECT		The independent source identifies Perfume“コールドスリープ” 25 years Document as Taketoshi Sado’s 2026 film, matching the proposed TMDB record (https://eiga.com/movie/105305/).
キネマ旬報シアター	マテリアリスト　結婚の条件	1136867	CORRECT		The independent source identifies マテリアリスト　結婚の条件 as セリーヌ・ソン’s 2025 film, matching the proposed TMDB record (https://eiga.com/movie/104116/).
キネマ旬報シアター	名無し	1584397	CORRECT		The independent source identifies 名無し as 城定秀夫’s 2026 film, matching the proposed TMDB record (https://eiga.com/movie/104852/).
キネマ旬報シアター	幕末ヒポクラテスたち	1528845	CORRECT		The independent source identifies 幕末ヒポクラテスたち as 緒方明’s 2026 film, matching the proposed TMDB record (https://eiga.com/movie/105053/).
シアターギルド代官山	愛の言葉	1258490	CORRECT		The independent source identifies 愛の言葉 as Han Sang-hee’s 2014 film, matching the proposed TMDB record (https://asianwiki.com/The_Language_of_Love).
シアターギルド代官山	チェイサーゲームW 水魚の交わり	1663504	CORRECT		The independent source identifies チェイサーゲームW 水魚の交わり as Yū Ōta’s 2026 film, matching the proposed TMDB record (https://eiga.com/movie/105366/).
シアター・イメージフォーラム	きっと青春大革命！カルラ8年の記録	1447567	CORRECT		The independent source identifies きっと青春大革命！カルラ8年の記録 as Kani Lapuerta’s 2026 film, matching the proposed TMDB record (https://normalscreen.org/kitto).
シアター・イメージフォーラム	私の血に流れる血	314400	CORRECT		The independent source identifies 私の血に流れる血 as Marco Bellocchio’s 2015 film, matching the proposed TMDB record (https://www.allcinema.net/cinema/406408).
シアター・イメージフォーラム	マザーランド	628742	CORRECT		The independent source identifies マザーランド as Tomas Vengris’s 2019 film, matching the proposed TMDB record (https://www.lfc.lt/en/Page%3DArticleList%26ID%3D16085%26Y%3D).
シアター・イメージフォーラム	ネタニヤフ調書　汚職と戦争	1353263	CORRECT		The independent source identifies ネタニヤフ調書　汚職と戦争 as Alexis Bloom’s 2024 film, matching the proposed TMDB record (https://transformer.co.jp/m/thebibifiles/).
シアター・イメージフォーラム	アワーミュージック	26347	CORRECT		The independent source identifies アワーミュージック as ジャン＝リュック・ゴダール’s 2004 film, matching the proposed TMDB record (https://eiga.com/movie/1584/).
シアター・イメージフォーラム	ゴダール・ソシアリスム	54083	CORRECT		The independent source identifies ゴダール・ソシアリスム as ジャン＝リュック・ゴダール’s 2010 film, matching the proposed TMDB record (https://eiga.com/movie/55820/).
シネクイント	マジカル・シークレット・ツアー	1624812	CORRECT		The independent source identifies マジカル・シークレット・ツアー as 天野千尋’s 2026 film, matching the proposed TMDB record (https://www.asmik-ace.co.jp/works/lineup/18829/).
シネスイッチ銀座	ルオムの黄昏	1535886	CORRECT		The independent source identifies ルオムの黄昏 as 张律’s 2025 film, matching the proposed TMDB record (https://zhanglu-japan.com/).
シネスイッチ銀座	春樹	1555229	CORRECT		The independent source identifies 春樹 as 张律’s 2025 film, matching the proposed TMDB record (https://zhanglu-japan.com/).
シネマシティ	ザ・スーパーマリオギャラクシー・ムービー	1226863	CORRECT		The independent source identifies ザ・スーパーマリオギャラクシー・ムービー as Michael Jelenic’s 2026 film, matching the proposed TMDB record (https://eiga.com/movie/104621/).
シネマシティ	だぁれかさんとアソぼ？	1658226	CORRECT		The independent source identifies だぁれかさんとアソぼ？ as 清水崇’s 2026 film, matching the proposed TMDB record (https://eiga.com/movie/105899/).
シネマシティ	パウ・パトロール　ザ・ダイノ・ムービー	1185806	CORRECT		The independent source identifies パウ・パトロール　ザ・ダイノ・ムービー as Cal Brunker’s 2026 film, matching the proposed TMDB record (https://eiga.com/movie/105057/).
シネマシティ	トイ・ストーリー5	1084244	CORRECT		The independent source identifies トイ・ストーリー5 as アンドリュー・スタントン’s 2026 film, matching the proposed TMDB record (https://eiga.com/movie/104002/).
シネマシティ	口に関するアンケート	1587473	CORRECT		The independent source identifies 口に関するアンケート as 清水崇’s 2026 film, matching the proposed TMDB record (https://eiga.com/movie/105111/).
シネマシティ	スター・ウォーズ　マンダロリアン・アンド・グローグー	1228710	CORRECT		The independent source identifies スター・ウォーズ　マンダロリアン・アンド・グローグー as ジョン・ファヴロー’s 2026 film, matching the proposed TMDB record (https://eiga.com/movie/101055/).
シネマシティ	君と花火と約束と	1622621	CORRECT		The independent source identifies 君と花火と約束と as 鈴木慧’s 2026 film, matching the proposed TMDB record (https://eiga.com/movie/105462/).
シネマシティ	スーパーガール	1081003	CORRECT		The independent source identifies スーパーガール as クレイグ・ギレスピー’s 2026 film, matching the proposed TMDB record (https://eiga.com/movie/105221/).
シネマシティ	新劇場版☆ケロロ軍曹　復活して速攻地球滅亡の危機であります！	1508938	CORRECT		The independent source identifies 新劇場版☆ケロロ軍曹　復活して速攻地球滅亡の危機であります！ as 追崎史敏’s 2026 film, matching the proposed TMDB record (https://eiga.com/movie/104216/).
シネマシティ	劇場版　魔法少女まどか☆マギカ　後編　永遠の物語	152044	CORRECT		The independent source identifies 劇場版　魔法少女まどか☆マギカ　後編　永遠の物語 as 宮本幸裕’s 2012 film, matching the proposed TMDB record (https://eiga.com/movie/58112/).
シネマリス	窓辺にて	1017417	CORRECT		The independent source identifies 窓辺にて as 今泉力哉’s 2022 film, matching the proposed TMDB record (https://eiga.com/movie/97301/).
シネマリス	街の上で	761344	CORRECT		The independent source identifies 街の上で as 今泉力哉’s 2019 film, matching the proposed TMDB record (https://eiga.com/movie/91826/).
シネマリス	ジェイムズ・ブッカー／愛すべきピアノ・ジャンキー	177298	CORRECT		The independent source identifies ジェイムズ・ブッカー／愛すべきピアノ・ジャンキー as Lily Keber’s 2013 film, matching the proposed TMDB record (https://eiga.com/movie/104495/).
シネマリス	ジェイムズ・ブッカー　愛すべきピアノ・ジャンキー	177298	CORRECT		The independent source identifies ジェイムズ・ブッカー　愛すべきピアノ・ジャンキー as Lily Keber’s 2013 film, matching the proposed TMDB record (https://eiga.com/movie/104495/).
シネマリス	チャオ・パンタン	58833	CORRECT		The independent source identifies チャオ・パンタン as Claude Berri’s 1983 film, matching the proposed TMDB record (https://eiga.com/movie/46757/).
シネマリス	そして人生はつづく	83761	CORRECT		The independent source identifies そして人生はつづく as عباس کیارستمی’s 1992 film, matching the proposed TMDB record (https://eiga.com/movie/46303/).
シネマリス	旅立ちのラストダンス	1226141	CORRECT		The independent source identifies 旅立ちのラストダンス as 陳茂賢’s 2024 film, matching the proposed TMDB record (https://eiga.com/movie/102603/).
シネマリス	殺しの分け前／ポイント・ブランク	26039	CORRECT		映画.com identifies this as John Boorman’s 1967 Point Blank, matching TMDB 26039: https://eiga.com/movie/44625/
シネマリス	殺しの分け前　ポイント・ブランク	26039	CORRECT		映画.com identifies this as John Boorman’s 1967 Point Blank, matching TMDB 26039: https://eiga.com/movie/44625/
シネマヴェーラ渋谷	秘密指令	27635	CORRECT		映画.com identifies this as Anthony Mann’s 1949 Reign of Terror, matching TMDB 27635: https://eiga.com/movie/63284/
シネマヴェーラ渋谷	雷鳴の湾	37380	CORRECT		映画.com identifies this as Anthony Mann’s 1953 Thunder Bay, matching TMDB 37380: https://eiga.com/movie/50465/
シネマヴェーラ渋谷	偽証	41590	WRONG	43463	Cinema Vera identifies the listing as Anthony Mann’s 1947 Railroaded!, whereas TMDB 41590 is the unrelated 1994 Heywood Gould film Trial by Jury: https://www.cinemavera.com/preview.html?no=352
シネマヴェーラ渋谷	怒りの河（1951）	1346720	WRONG	38732	映画.com identifies the listing as Anthony Mann’s 1951 US western Bend of the River, whereas TMDB 1346720 is Liu Juan’s 2024 Chinese film 怒江: https://eiga.com/movie/42380/
シネマート新宿	GOOD BOY グッドボーイ	1422096	CORRECT		映画.com identifies this as Ben Leonberg’s 2025 US film Good Boy, matching TMDB 1422096: https://eiga.com/movie/104818/
シネマート新宿	デスストーカー	1253000	CORRECT		映画.com identifies this as Steven Kostanski’s 2025 US-Canadian Deathstalker, matching TMDB 1253000: https://eiga.com/movie/105325/
シネマート新宿	フランキー・フリーコ	1127407	CORRECT		映画.com identifies this as Steven Kostanski’s 2024 Canadian Frankie Freako, matching TMDB 1127407: https://eiga.com/movie/103187/
ヒューマントラストシネマ有楽町	映画 それいけ！アンパンマン　パンタンと約束の星	1729116	CORRECT		The cinema page identifies this as Hiroyuki Yano’s 2026 Anpanman film, matching TMDB 1729116: https://ttcg.jp/human_yurakucho/movie/1300100.html
ヒューマントラストシネマ渋谷	シルビアのいる街で	29568	CORRECT		映画.com identifies this as José Luis Guerín’s 2007 Spanish-French En la ciudad de Sylvia, matching TMDB 29568: https://eiga.com/movie/55520/
ヒューマントラストシネマ渋谷	勝手にしやがれ 　 A BOUT DE SOUFFLE	269	CORRECT		The cinema page identifies this as Jean-Luc Godard’s 1960 French À bout de souffle, matching TMDB 269: https://ttcg.jp/human_shibuya/movie/1331300.html
ヒューマントラストシネマ渋谷	ポパイ・ザ・スレイヤー・マン	1388366	CORRECT		映画.com identifies this as Robert Michael Ryan’s 2025 US Popeye: The Slayer Man, matching TMDB 1388366: https://eiga.com/movie/106235/
ヒューマントラストシネマ渋谷	氷血	1658268	CORRECT		映画.com identifies this as Eisuke Naito’s 2026 Japanese film 氷血, matching TMDB 1658268: https://eiga.com/movie/105729/
ヒューマントラストシネマ渋谷	あいつのロシェル	1326354	CORRECT		映画.com identifies this as Tom Furniss’s 2024 New Zealand film Rochelle, matching TMDB 1326354: https://eiga.com/movie/106378/
ヒューマントラストシネマ渋谷	サンキュー、チャック	842924	CORRECT		映画.com identifies this as Mike Flanagan’s 2025 US film The Life of Chuck, matching TMDB 842924: https://eiga.com/movie/104121/
ホワイト シネクイント	サヨナラの引力	1264805	CORRECT		映画.com identifies this as Kim Do-young’s 2025 Korean film Once We Were Us, matching TMDB 1264805: https://eiga.com/movie/105990/
ホワイト シネクイント	ハッシュ! 4Kリマスター版	26895	CORRECT		The cinema page identifies the remaster as Ryosuke Hashiguchi’s 2001 Hush!, matching TMDB 26895: https://www.cinequinto.com/white/movie/detail.php?id=1532
ホワイト シネクイント	プロジェクト・ヘイル・メアリー	687163	CORRECT		映画.com identifies this as Phil Lord’s 2026 US Project Hail Mary, matching TMDB 687163: https://eiga.com/movie/104209/
ポレポレ東中野	どうすればよかったか？	1188968	CORRECT		映画.com identifies Tomoaki Fujino’s Japanese documentary (2023 production; 2024 release), the same film as TMDB 1188968: https://eiga.com/movie/102543/
ポレポレ東中野	映画 日本国憲法	1050595	CORRECT		映画.com identifies this as John Junkerman’s 2005 Japanese documentary, matching TMDB 1050595: https://eiga.com/movie/41327/
ポレポレ東中野	アジアのユニークな国	1505677	CORRECT		映画.com identifies this as Kenji Yamauchi’s 2025 Japanese film, matching TMDB 1505677: https://eiga.com/movie/103818/
ユーロスペース	メレディス・モンク　踊る声、歌う身体	1418515	CORRECT		映画.com identifies this as Billy Shebar’s 2025 US-German-French Monk in Pieces, matching TMDB 1418515: https://eiga.com/movie/106103/
ユーロスペース	メモリィズ	1637456	CORRECT		映画.com identifies this as Miiku Sakanishi’s 2026 Japanese film, matching TMDB 1637456: https://eiga.com/movie/105245/
ユーロスペース	また会えるよね	1275095	CORRECT		Eurospace identifies this as Guillaume Brac’s Ce n’est qu’un au revoir, matching TMDB 1275095: http://www.eurospace.co.jp/works/detail.php?w_id=000996
ユーロスペース	宝島（2019）	1293968	WRONG	525894	映画.com identifies the listing as Guillaume Brac’s 2019 French documentary L’Ile au trésor, whereas TMDB 1293968 is Keishi Otomo’s 2025 Japanese drama: https://eiga.com/movie/96703/
ユーロスペース	やさしい人	208837	CORRECT		映画.com identifies this as Guillaume Brac’s French Tonnerre, matching TMDB 208837: https://eiga.com/movie/80962/
